ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
6000
ITEM: BOX BOUNDS pp pp pp
-20.6917 20.6917
-20.6917 20.6917
-20.6917 20.6917
ITEM: ATOMS id mol type q mass x y z fx fy fz 
4996 833 2 0.04 1.008 -18.5496 -16.1085 -19.5892 5.82287 -4.72152 11.6937 
5052 842 4 0.418 1.008 -13.927 -12.906 -16.8493 -6.22756 1.96082 -11.2831 
5051 842 3 -0.683 15.999 -13.8595 -12.0205 -16.4757 4.27113 -16.8512 23.4844 
5047 842 1 0.145 12.01 -13.283 -12.2789 -15.1988 -47.9748 22.0373 -7.37254 
5050 842 2 0.04 1.008 -13.8364 -13.0562 -14.559 27.3752 21.5367 -22.1413 
4742 791 2 0.04 1.008 -15.9939 -15.19 -16.7044 0.325332 -6.40131 3.07284 
4746 791 4 0.418 1.008 -14.8942 -14.431 -18.3635 -18.3994 3.73549 -48.5722 
4741 791 1 0.145 12.01 -14.9311 -15.399 -16.8323 28.9197 -14.1212 40.6363 
4745 791 3 -0.683 15.999 -14.4134 -14.355 -17.5946 17.7738 -8.54638 23.2509 
4744 791 2 0.04 1.008 -14.3865 -15.2834 -15.8302 -22.8029 -10.9586 -30.3759 
4743 791 2 0.04 1.008 -14.747 -16.4412 -17.2467 -6.88192 31.9677 7.09251 
4997 833 3 -0.683 15.999 -17.9109 -14.3751 -18.7031 -28.7242 -3.78697 17.8833 
4998 833 4 0.418 1.008 -17.083 -14.4153 -19.1285 26.4283 -3.086 -18.6912 
1145 191 3 -0.683 15.999 -12.4922 -19.4456 -12.3141 -30.2259 24.7335 -3.1925 
5049 842 2 0.04 1.008 -13.3363 -11.2969 -14.76 -7.38614 1.91706 16.4333 
5048 842 2 0.04 1.008 -12.2549 -12.3203 -15.381 30.9368 -25.9401 5.86546 
217 37 1 0.145 12.01 -15.5312 -16.3223 -20.4725 -20.3456 26.4463 -21.5733 
221 37 3 -0.683 15.999 -15.7328 -14.9094 -20.3137 3.56789 -12.766 -15.6079 
5038 840 2 0.04 1.008 -18.519 -17.6949 -14.3714 0.833136 0.486967 9.17836 
5035 840 1 0.145 12.01 -17.9959 -18.348 -13.6772 -1.88077 -12.818 -11.9914 
5039 840 3 -0.683 15.999 -18.157 -18.0668 -12.3344 -23.9999 11.7526 26.0797 
1146 191 4 0.418 1.008 -13.1139 -18.9351 -12.8745 11.5944 -1.9593 20.1589 
5040 840 4 0.418 1.008 -19.1059 -18.1152 -12.1074 29.3506 0.253438 -8.24435 
5036 840 2 0.04 1.008 -18.3572 -19.3647 -13.7992 -0.632416 -2.02968 -6.53398 
1630 272 2 0.04 1.008 -10.7619 -10.8065 -19.062 7.89967 -8.22763 -16.8297 
3587 598 3 -0.683 15.999 -16.6093 -18.8727 -18.1478 13.8491 1.138 17.6801 
